Site;night;active.night
P14;22.08.2020;TRUE
P14;23.08.2020;TRUE
P14;24.08.2020;TRUE
P14;25.08.2020;TRUE
P14;26.08.2020;TRUE
P14;27.08.2020;TRUE
P14;28.08.2020;TRUE
P14;29.08.2020;TRUE
P14;09.09.2020;TRUE
P14;10.09.2020;TRUE
P14;11.09.2020;TRUE
P14;12.09.2020;TRUE
P14;13.09.2020;TRUE
P14;14.09.2020;TRUE
P14;15.09.2020;TRUE
P14;16.09.2020;TRUE
P14;17.09.2020;TRUE
P14;18.09.2020;TRUE
P14;19.09.2020;TRUE
P14;20.09.2020;TRUE
P14;21.09.2020;TRUE
P14;22.09.2020;TRUE
P14;23.09.2020;TRUE
P14;24.09.2020;TRUE
P14;25.09.2020;TRUE
P14;26.09.2020;TRUE
P14;27.09.2020;TRUE
P14;28.09.2020;TRUE
C04;28.09.2020;TRUE
P04;28.09.2020;TRUE
P04;29.09.2020;TRUE
